state_ut,area,geography_type,hh_surveyed,women_interviewed,anc_first_trimester_pct,anc_4plus_visits_pct,tetanus_protected_birth_pct,ifa_100days_pct,ifa_180days_pct,mcp_card_pct,postnatal_care_mother_2days_pct,oop_cost_public_delivery_rs,institutional_births_pct,institutional_births_public_pct,skilled_birth_attendance_pct,caesarean_overall_pct,caesarean_private_pct,caesarean_public_pct,full_immunisation_card_recall_pct,bcg_pct,polio3_pct,penta_dpt3_pct,mcv1_pct,mcv2_24to35m_pct,rotavirus3_pct,vitamin_a_pct,breastfed_1hour_pct,exclusive_breastfed_u6m_pct,adequate_diet_6to23m_pct,stunted_pct,wasted_pct,severely_wasted_pct,underweight_pct,overweight_child_pct,children_anaemic_6to59m_pct,women_bmi_below_normal_pct,women_anaemic_all_pct,women_anaemic_pregnant_pct,neonatal_mortality_rate,infant_mortality_rate,under5_mortality_rate,total_fertility_rate,women_married_before18_pct,women_literate_pct,women_10plus_yrs_school_pct,improved_drinking_water_pct,improved_sanitation_pct,clean_cooking_fuel_pct,health_insurance_pct
India,Urban,National,160138.0,179535.0,75.46,68.14,92.72,54.0,34.38,94.91,84.61,3385.4,93.79,52.57,94.02,32.26,49.28,22.71,75.47,94.73,79.16,85.96,87.11,30.43,34.92,71.82,44.67,59.63,12.25,30.12,18.54,7.6,27.34,4.22,64.22,13.24,53.81,45.72,17.96,26.56,31.45,1.63,14.69,83.01,56.28,98.67,81.47,89.65,38.08
India,Rural,National,476561.0,544580.0,67.91,54.2,91.65,40.17,22.74,96.31,75.42,2769.84,86.71,65.31,87.76,17.59,46.03,11.86,76.79,95.38,80.93,87.02,88.13,32.41,36.95,70.97,40.68,65.06,10.96,37.34,19.51,7.71,33.78,3.15,68.25,21.22,58.51,54.31,27.45,38.36,45.69,2.14,27.02,65.9,33.7,94.57,64.9,43.21,42.44
India,Total,National,636699.0,724115.0,70.04,58.13,91.95,44.07,26.02,95.91,78.01,2915.87,88.59,61.91,89.43,21.5,47.37,14.31,76.44,95.2,80.45,86.74,87.85,31.88,36.4,71.2,41.75,63.72,11.3,35.47,19.26,7.68,32.11,3.43,67.12,18.67,57.03,52.15,24.91,35.2,41.86,1.99,23.25,71.46,41.04,95.87,70.17,58.62,40.99
Andaman & Nicobar Islands,Urban,State/UT,527.0,557.0,81.15,86.03,92.82,81.21,64.77,100.0,89.39,4229.5,99.19,81.84,96.74,40.78,,33.59,72.11,100.0,75.68,93.09,79.29,34.58,0.01,84.3,45.76,,27.74,18.15,12.83,5.09,15.07,5.69,47.83,11.32,57.24,,,,,1.44,17.43,86.55,59.71,98.03,87.95,95.63,1.44
Andaman & Nicobar Islands,Rural,State/UT,2097.0,1840.0,73.47,81.04,89.03,80.71,41.02,97.92,88.45,2089.19,98.73,92.08,97.83,20.2,,15.78,84.84,95.88,87.35,92.08,85.5,28.59,0.65,87.22,47.78,,10.59,26.42,18.95,4.57,31.14,5.16,33.32,8.19,57.64,55.54,2.82,8.39,9.46,1.17,15.27,85.58,47.57,95.31,87.98,71.01,1.61
Andaman & Nicobar Islands,Total,State/UT,2624.0,2397.0,77.06,83.37,90.8,80.94,52.12,98.9,88.89,2924.19,98.95,87.27,97.32,29.86,79.17,23.63,77.78,98.17,80.88,92.64,82.05,31.91,0.29,85.95,46.86,73.26,19.47,22.47,15.99,4.82,23.65,5.42,40.04,9.44,57.48,53.66,12.32,20.64,24.54,1.28,16.21,85.97,52.47,96.32,87.97,79.77,1.55
Andhra Pradesh,Urban,State/UT,3192.0,3161.0,82.68,67.16,92.51,76.74,45.61,94.15,92.19,2658.69,98.64,41.81,98.31,50.47,66.11,30.85,69.29,92.37,70.58,84.79,83.69,27.06,71.96,81.68,51.63,61.35,16.7,23.14,17.55,6.36,25.12,2.95,58.73,11.91,57.77,56.19,14.35,29.75,33.67,1.47,21.69,79.01,51.2,99.43,89.1,96.57,62.16
Andhra Pradesh,Rural,State/UT,8154.0,7814.0,81.34,67.58,92.87,67.64,39.25,97.46,90.08,3248.46,95.67,53.74,95.23,39.28,61.35,25.23,74.65,95.57,76.88,89.94,88.55,31.3,77.0,79.73,52.21,70.41,6.29,34.24,15.49,5.83,31.37,2.56,65.03,16.15,59.31,52.7,22.11,30.43,35.81,1.78,32.9,63.84,34.28,95.44,72.09,77.91,73.73
Andhra Pradesh,Total,State/UT,11346.0,10975.0,81.73,67.46,92.77,70.29,41.1,96.53,90.69,3105.47,96.51,50.37,96.1,42.44,63.01,26.55,73.02,94.59,74.96,88.37,87.07,30.01,75.46,80.28,52.04,68.04,9.31,31.16,16.06,5.98,29.63,2.67,63.19,14.83,58.83,53.71,19.91,30.25,35.19,1.68,29.34,68.64,39.63,96.65,77.26,83.62,70.19
Arunachal Pradesh,Urban,State/UT,3714.0,4211.0,57.18,47.81,82.11,29.39,13.03,97.73,67.03,10177.81,90.62,82.14,93.02,17.06,56.26,14.97,66.76,93.38,70.45,83.19,85.1,29.61,28.75,75.68,53.97,66.19,25.72,28.42,10.07,4.65,13.12,9.55,52.84,5.62,36.48,23.39,12.51,16.7,22.17,1.44,16.69,84.65,55.39,98.13,79.87,90.15,33.6
